"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113","Verifikasi Antrian Komite","chromium","2026-08-15","failed","2026-08-15","Antrian Komite","test/features/fitur_permohonan_kresun_dan_antrian_komite/AntrianKomite2.feature.spec.js","",""
"","8863","Added New Tipe Dokumen and validate data in table","chromium","2026-07-07","passed","2026-07-07","Add Tipe Dokumen","src/features/fitur_tipe_dokumen/add_tipe_dokumen.feature.spec.js","",""
"","0","Mengajukan Permohonan kresun pada cbs konven","chromium","2026-08-15","skipped","2026-08-15","Permohonan kresun pada cbs konven","test/features/fitur_permohonan_kresun_dan_antrian_komite/Permohonan_Kresun_NewRegular.feature.spec.js","",""
"","1","Mengajukan Permohonan kresun pada cbs konven","chromium","2026-08-15","skipped","2026-08-15","Permohonan kresun pada cbs konven","test/features/fitur_permohonan_kresun_dan_antrian_komite/Permohonan_kresun_Take_Over.feature.spec.js","",""
"","3707","Verifikasi Antrian Komite","chromium","2026-08-15","failed","2026-08-15","Antrian Komite","test/features/fitur_permohonan_kresun_dan_antrian_komite/AntrianKomite.feature.spec.js","",""
"","5565","Verifikasi Antrian Komite","chromium","2026-08-15","failed","2026-08-15","Antrian Komite","test/features/fitur_permohonan_kresun_dan_antrian_komite/AntrianKomite1.feature.spec.js","",""
"","1","Mengajukan Permohonan kresun pada cbs konven","chromium","2026-08-15","skipped","2026-08-15","Permohonan kresun pada cbs konven","test/features/fitur_permohonan_kresun_dan_antrian_komite/Permohonan_Kresun_Top_Up.feature.spec.js","",""
"","0","Mengajukan Permohonan kresun pada cbs konven","chromium","2026-08-15","skipped","2026-08-15","Permohonan kresun pada cbs konven","test/features/fitur_permohonan_kresun_dan_antrian_komite/Permohonan_Kresun_New_3O.feature.spec.js","",""
"","3539","Pengguna login pada CBS Konvensional","chromium","2026-08-15","failed","2026-08-15","Login CBS Konvensional Website","test/features/fitur_login/login.feature.spec.js","",""
"","1","Mengajukan Permohonan kresun pada cbs konven","chromium","2026-08-15","skipped","2026-08-15","Permohonan kresun pada cbs konven","test/features/fitur_permohonan_kresun_dan_antrian_komite/permohonanKresunKonven.feature.spec.js","",""
